Map URL,Language,Pronunciation,Introduction,Catalogue items,Synonyms,Dialects,Common words,AIATSIS code,AIATSIS URL,Area information,Locations,Coordinates 1,Coordinates 2,Coordinates 3,Coordinates 4,Coordinates 5,Coordinates 6,Coordinates 7,Coordinates 8,Coordinates 9,Coordinates 10,Coordinates 11,Coordinates 12,Coordinates 13,Coordinates 14,Coordinates 15,Coordinates 16,Coordinates 17,Coordinates 18,Coordinates 19,Video titles,Video URL 1,Video URL 2,Video URL 3,Further information,Further information URL 1,Further information URL 2,Word of the week,Word of the week URL,Image attribution,Image URL
https://maps.slq.qld.gov.au/iyil/view/1,Baradha,Bah-ra-dah,"Binbi gari, hello (good day) in Baradha, a language of Central Queensland. The Baradha language region includes the locality of Lotus Creek and extends along the inland ranges towards Nebo and extends along the Connors River catchment.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e48&vid=SLQ",Barada; Toolginburra; Baradaybahrad; Thararraburra; Toolginburra; Baradha,Biri; Wiri; Yangga; Yilba; Miyan; Gabulbarra; Baranha; Yambina; Yetimarala; Gariynbal,Hello - Binbi gari; Hello friend - Binbi gari yaba; Bird - dhibila; Echidna - mumi; Fish - wina; Kangaroo - wurra; Koala - wanmul; Snake - munda; Grass - wagura; Home/Camp - yamba; Land - nhani; Rain/Water - gamu; River - balbara; Sun - gari,E48,https://collection.aiatsis.gov.au/austlang/language/E48,The Baradha language region includes the locality of Lotus Creek and extends along the inland ranges towards Nebo and extends along the Connors River catchment.,"Lotus Creek, Nebo, Connors River","-22.4974642,149.1758589","-21.6884985,148.6950385","-22.4601641,148.9640865",,,,,,,,,,,,,,,,,,,,,Central Queensland Language Centre,http://www.gidarjil.com.au/what-we-do/language,,yanga,https://www.slq.qld.gov.au/blogs/ala/2019-international-year-indigenous-languages-word-week-week-eight,"Wagon loaded with goods crossing Funnel Creek, Queensland, ca. 1914, John Oxley Library, Record number: 21219329430002061",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_alma21219329430002061
https://maps.slq.qld.gov.au/iyil/view/2,Baranggum,Bah-rung-gum,"Gamba daru, which means 'hello [good day]' in Barunggam one of the languages of the Dalby region. The Barunggam language region includes the landscape within the local government boundaries of the Western Downs Regional Council, particularly Dalby, Tara, Jandowae and west towards Chinchilla.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20d40&vid=SLQ",Barrunggam; Barunggam Parrungoom; Murrumgama,,Hello - gamba daru; Hello friend - gamba daru bandji; Bird - djui Emu - ngui; Fish - gool; Kangaroo - gooraman; Koala - gua; Snake - wenge; Grass - woodyun; Home/Camp - murrun; Land - djah; Water - goong; River - dunggi; Sun - djanan,D40,https://collection.aiatsis.gov.au/austlang/language/D40,"The Barunggam language region includes the landscape within the local government boundaries of the Western Downs Regional Council, particularly Dalby, Tara, Jandowae and west towards Chinchilla.","Chinchilla, Dalby, Jandowae, Tara","-26.7553996,150.6284922","-27.1944226,151.2659802","-26.783333,151.1","-27.2768311,150.4574273",,,,,,,,,,,,,,,,,,,,"Yugambeh Museum, Language and Heritage Research Centre",https://www.yugambeh.com/,,bonyi,https://www.slq.qld.gov.au/blogs/ala/2019-international-year-indigenous-languages-word-week-week-ten,"Wagon loaded with goods crossing Funnel Creek, Queensland, ca. 1914",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_alma21220088380002061
https://maps.slq.qld.gov.au/iyil/view/3,Bidjara,Bid-jah-rah,"Budabai duru, hello [good day] in Bidjara, a language of the Warrego River catchment in South-West Queensland. The Bidjara language region includes the landscape within the local government boundaries of the Murweh Shire Council, particularly the towns of Charleville, Augathella and Blackall as well as the properties of Nive Downs and Mt Tabor.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e37&vid=SLQ",Bidyara; Pitjara; Peechara,,Hello - Budabai duru; Hello friend - Budabai duru mirr-mirr; Bird - dhibiliny; Echidna - badbirda; Fish - guyu; Kangaroo - wura; Koala - didany; Snake - munda; Grass - wudhun; Home/Camp - yumba; Land - nhandhi; Rain/Water - gamu; River - balbara; Sun - duru,E37,https://collection.aiatsis.gov.au/austlang/language/E37,"The Bidjara language region includes the landscape within the local government boundaries of the Murweh Shire Council, particularly the towns of Charleville, Augathella and Blackall as well as the properties of Nive Downs and Mt Tabor.","Charleville, Augathella, Blackall, Mt Tabor","-26.4020616,146.2453597","-25.7976631,146.5854824","-24.4206347,145.4672657","-28.2109835,152.0663126",,,,,,,,,,,,,,,,,,,,"Yugambeh Museum, Language and Heritage Research Centre",https://www.yugambeh.com/,,,,"Group of people at Charleville, ca. 1890, John Oxley Library, Record number: 276587",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool276587
https://maps.slq.qld.gov.au/iyil/view/4,Bigambul,Big-um-bull,"Weeimba gilee, 'hello [good day]' in Bigambul, a language from South-West Queensland. The Bigambul language region includes the landscape within the local government boundaries of the Goondiwindi Regional Council, including the towns of Goondiwindi Yelarbon and Texas extending north towards Moonie and Millmerran.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20d34&vid=SLQ",Bigambal; Bigumbil; Pikambul; Pikumbul,,Hello - Weeimba gilee; Bird - dhigaraa; Echidna - gayker; Fish - gool; Kangaroo - bamburr; Possum - koobee; Snake - dhimba; Grass - woodyun; Home/Camp - noorah; Land - dhurrii; Rain/Water - gulli; River - warril; Sun - gillee,D34,https://collection.aiatsis.gov.au/austlang/language/D34,"The Bigambul language region includes the landscape within the local government boundaries of the Goondiwindi Regional Council, including the towns of Goondiwindi Yelarbon and Texas extending north towards Moonie and Millmerran.","Goondiwindi, Inglewood, Millmerran, Texas, Yelarbon","-28.5387064,150.2982881","-28.4152771,151.0667869","-27.8793294,151.2658303","-28.854722,151.168333","-28.5823659,150.748672",,,,,,,,,,,,,,,,,,,"Yugambeh Museum, Language and Heritage Research Centre",https://www.yugambeh.com/,,,,"Barwon River at Goondiwindi, 1920-1930, John Oxley Library, Record number: 240836",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool240836
https://maps.slq.qld.gov.au/iyil/view/5,Biri,Beer-ee,"Yandanji, hello in Biri, a language of Central and North Queensland. Biri refers to a language chain extending from Central Queensland towards Townsville and is often used as a universal name for other languages and/or dialects across the region. The language area includes the towns of Bowen, Ayr, Collinsville and Nebo.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e56&vid=SLQ",Birri,Wiri; Yangga; Yilba; Miyan; Gabulbarra; Baradha; Baranha; Yambina; Yetimarala; Gariynbal.,Hello - Yandanji; Hello friend - Yandanji yaba; Bird - dhibila; Echidna - babirra ; Fish - guyu; Kangaroo - wurra; Koala - gunyula; Snake - munda; Grass - gadyarra; Home/Camp - yamba; Land - nhani; Rain/Water - gamu; River - baru; Sun - gari,E56,https://collection.aiatsis.gov.au/austlang/language/E56,"Biri refers to a language chain extending from Central Queensland towards Townsville and is often used as a universal name for other languages and/or dialects across the region. The language area includes the towns of Bowen, Ayr, Collinsville and Nebo.","Bowen, Ayr, Collinsville, Nebo","-20.0121024,148.246279","-19.5685154,147.4063861","-20.55,147.85","-21.6884985,148.6950385",,,,,,,,,,,,,,,,,,,,North Queensland Regional Aboriginal Corporation Languages Centre,http://www.nqraclc.com.au/,,,,"Man standing in bark canoe, Bowen district, 1909, John Oxley Library, Record number: 276971",http://onesearch.slq.qld.gov.au/primo-explore/fulldisplay?docid=slq_digitool276971&context=L&vid=SLQ&search_scope=DT&tab=dt&lang=en_US
https://maps.slq.qld.gov.au/iyil/view/6,Butchulla,But-cha-lah,"Ngara, which means 'hello' in Butchulla the language of the Fraser Coast region, including K'gari (Fraser Island). Butchulla language region includes the landscape within the local government boundaries of the Fraser Coast Regional Council, particularly the towns of Maryborough and Hervey Bay extending south towards Noosa and north to Caboolture.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e56&vid=SLQ",Batjala; Badtjala; Badjela; Badjala,,Hello - ngara; Hello friend - ngara mandji; Bird - djui; Echidna - gagar; Fish - guyu; Kangaroo - mari; Koala - gularu; Grass - baan; Home/Camp - gundu; Land - djaa; River - girar; Sun - deerum; Water - gung,E30,https://collection.aiatsis.gov.au/austlang/language/E30,"Butchulla language region includes the landscape within the local government boundaries of the Fraser Coast Regional Council, particularly the towns of Maryborough and Hervey Bay extending south towards Noosa and north to Caboolture.","Maryborough, Hervey Bay, Fraser Coast, Fraser Island","-25.5232627,152.6970636","-25.2881539,152.7676633","-25.4884782,152.7323884","-25.2398229,153.1325243",,,,,,,,,,,,,,,,Video 1: Ashleigh Clarke & Karina Barney,https://vimeo.com/141599107,,,Central Queensland Language Centre,http://www.gidarjil.com.au/what-we-do/language,,,,"Camp in the Maryborough District, ca. 1888, John Oxley Library, Record number: 275755",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool275755
https://maps.slq.qld.gov.au/iyil/view/7,Dharumbal,Dah-rum-bull,"Gudamulli, hello in Darumbal, a language of the Rockhampton region in Central Queensland. The Darumbal language region includes the city of Rockhampton extending south towards Raglan Creek and north towards the Styx River and inland along the Broad Sound Ranges.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e46&vid=SLQ",Darumbal; Tarumbul; Tharoombool,Kuinmabara; Wapabara; Rakiwara; and Karunbara,Hello - Gudamulli; Hello friend - Gudamulli waminda; Bird - duguru; Echidna - girrbahn; Fish - guya; Kangaroo - wura; Koala - gula; Snake - munda; Grass - gara; Home/Camp - dhurra; Land - gapa; Rain/Water - gamu; River - ganbara; Sun - garri,E46,https://collection.aiatsis.gov.au/austlang/language/E46,The Darumbal language region includes the city of Rockhampton extending south towards Raglan Creek and north towards the Styx River and inland along the Broad Sound Ranges.,"Rockhampton, North Rockhampton, Shoalwater Bay, Yaamba","-23.3790772,150.510016","-23.3728665,150.5018829","-22.3463889,150.3938889","-23.1333796,150.3752576",,,,,,,,,,,,,,,,Video 1: Aunty Nyoka Hatfield,https://vimeo.com/141366932,,,Central Queensland Language Centre,http://www.gidarjil.com.au/what-we-do/language,,,,"North Queensland coastal view, from Emu Park, 1939, John Oxley Library, Record number: 415180",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool415180
https://maps.slq.qld.gov.au/iyil/view/8,Duungidjawu,Duung-gee-jah-woo,"Galang meng, which means good day/hello in Duungidjawu the language of the Upper Brisbane River catchment. The Duungidjawu language region includes the landscape within the local government boundaries of the Somerset and Moreton Bay Regional Councils, particularly the towns of Caboolture, Kilcoy, Woodford and Moore.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e20&vid=SLQ",Dungidau; Djunggidjau,,Hello - Galang meng; Hello friend - Galang meng mandji; Bird - dhibila; Echidna - gaarr; Fish - guyur; Kangaroo - goorooman; Koala - guula; Snake - yuuwunj; Grass - ban; Home/Camp - moromoro; Land - djawun; Water - gung; River - djuingi; Sun - nguwim,E20,https://collection.aiatsis.gov.au/austlang/language/E20,"The Duungidjawu language region includes the landscape within the local government boundaries of the Somerset and Moreton Bay Regional Councils, particularly the towns of Caboolture, Kilcoy, Woodford and Moore.","Caboolture, Kilcoy, Woodford, Moore, Jimna","-27.066667,152.966667","-26.9422979,152.5620065","-26.955,152.778","-26.8817032,152.1403418","-26.7013749,152.3998433",,,,,,,,,,,,,,,,,,,"Yugambeh Museum, Language and Heritage Research Centre",http://www.yugambeh.com,,djiwi,http://blogs.slq.qld.gov.au/ilq/2019/09/03/019-international-year-of-indigenous-languages-word-of-the-week-week-thirty-six/,"Township of Kilcoy, 1909, John Oxley Library, Record number: 81767",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool81767
https://maps.slq.qld.gov.au/iyil/view/9,Gamilaraay,Gah-mill-a-rye,"Yaama, hello in Gamilaraay a language from South-West Queensland and North-West New South Wales. The Gamilaraay language region includes the landscape within the local government boundaries of the Balonne Shire Council, including the towns of Dirranbandi, Thallon, Talwood and Bungunya as well as the border towns of Mungindi and Boomi extending to Moree, Tamworth and Coonabarabran in NSW.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20d23&vid=SLQ",Gamilaroi; Kamilaroi; Comilroy,,Hello - Yaama; Hello friend - Yaama maliyaa; Good day (g'day) - Gaba yaadha; Bird - dhigaraa; Echidna - bigibilla; Fish - guya; Kangaroo - bandaarr; Koala - guda; Snake - dhuru; Grass - garaar; Home/Camp - gundhi; Land - dhawun; Rain/Water - gali; River - bagay; Sun - yaraay,D23,https://collection.aiatsis.gov.au/austlang/language/D23,"The Gamilaraay language region includes the landscape within the local government boundaries of the Balonne Shire Council, including the towns of Dirranbandi, Thallon, Talwood and Bungunya as well as the border towns of Mungindi and Boomi extending to Moree, Tamworth and Coonabarabran in NSW.","Dirranbandi, Thallon, Talwood, Bungunya, Mungindi, Boomi","-28.5821814,148.2284415","-28.6390951,148.8644026","-28.48704,149.468568","-28.428946,149.6523957","-28.9692779,148.9888237","-28.7236387,149.5735745",,,,,,,,,,,,,,Video 1: Desmond Crump; Video 2: Kate Munro,https://vimeo.com/272484712,https://vimeo.com/145217504,,"Yugambeh Museum, Language and Heritage Research Centre",http://www.yugambeh.com,,yulugi,http://blogs.slq.qld.gov.au/ilq/2019/01/02/2019-international-year-of-indigenous-languages-word-of-the-week/,"Main Street, Dirranbandi, 1927, John Oxley Library, Record number: 21220039640002061",http://onesearch.slq.qld.gov.au/permalink/f/1oppkg1/slq_alma21220039640002061
https://maps.slq.qld.gov.au/iyil/view/10,Githabal,Gith-a-bull,"Budgerie djanahn, which means 'hello [good day]' in Gidhabal, one of the languages of the Toowoomba region. The Gidhabal language region includes the landscape within the local government boundaries of the Southern Downs Regional Council, particularly Warwick, Killarney and Woodenbong extending into New South Wales.","http://onesearch.slq.qld.gov.au/primo-explore/search?query=usertag,contains,aiatsis%20language%20code%20e14&vid=SLQ",Githabal; Gidabal; Kitabal,,Hello - Bugal numgirr; Hello friend - Bugal numgirr mibinyahbu; Bird - nunganybil; Echidna - buneen; Fish - djalum; Kangaroo - guruhman; Koala - borobi; Snake - diruny; Grass - wudhang; Home/Camp - gundu; Land - djagun; Water - guhng; River - balun; Sun - djalnahn,E14,https://collection.aiatsis.gov.au/austlang/language/E14,"The Gidhabal language region includes the landscape within the local government boundaries of the Southern Downs Regional Council, particularly Warwick, Killarney and Woodenbong extending into New South Wales.","Southern Downs, Warwick, Killarney, Woodenbong","-28.2754304,151.9813913","-28.2157285,152.0281701","-28.333333,152.3","-28.3940787,152.6185302",,,,,,,,,,,,,,,,Video 1: waringh waringh,,,,"Yugambeh Museum, Language and Heritage Research Centre",http://www.yugambeh.com,,,http://blogs.slq.qld.gov.au/ilq/2019/06/11/2019-international-year-of-indigenous-languages-word-of-the-week-week-twenty-four/,"Panoramic view across farmland towards Warwick, Queensland, John Oxley Library, Record number: 1319369",http://onesearch.slq.qld.gov.au/permalink/f/1upgmng/slq_digitool1319369
